#options: 854x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=127 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:50.36 aq:32.00 tex:222 mv:497 misc:105 imb:1620 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:50.30 aq:32.00 tex:0 mv:0 misc:160 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:50.30 aq:34.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:50.30 aq:35.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:50.30 aq:35.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:49.75 aq:33.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:50.03 aq:34.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:50.16 aq:35.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:49.89 aq:35.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:49.15 aq:34.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:10 out:10 type:i dur:2 cpbdur:2 q:47.31 aq:37.32 tex:16995 mv:7693 misc:136 imb:1620 pmb:0 smb:0 d:- ref:;
in:13 out:11 type:P dur:2 cpbdur:2 q:49.72 aq:40.11 tex:211 mv:410 misc:355 imb:22 pmb:26 smb:1572 d:- ref:0 ;
in:11 out:12 type:B dur:2 cpbdur:2 q:49.72 aq:44.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:49.72 aq:44.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:16 out:14 type:P dur:2 cpbdur:2 q:49.43 aq:41.04 tex:524 mv:659 misc:513 imb:46 pmb:44 smb:1530 d:- ref:0 ;
in:14 out:15 type:B dur:2 cpbdur:2 q:49.62 aq:42.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:49.53 aq:43.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:19 out:17 type:P dur:2 cpbdur:2 q:41.43 aq:32.52 tex:9371 mv:4263 misc:1366 imb:290 pmb:344 smb:986 d:- ref:0 ;
in:17 out:18 type:B dur:2 cpbdur:2 q:46.76 aq:40.00 tex:9 mv:83 misc:236 imb:2 pmb:9 smb:1609 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:44.09 aq:37.79 tex:11 mv:42 misc:203 imb:1 pmb:10 smb:1609 d:- ref:0 ;
in:22 out:20 type:P dur:2 cpbdur:2 q:35.21 aq:26.69 tex:32662 mv:9323 misc:1071 imb:580 pmb:713 smb:327 d:- ref:0 ;
in:20 out:21 type:B dur:2 cpbdur:2 q:39.36 aq:32.29 tex:246 mv:889 misc:561 imb:10 pmb:112 smb:1498 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:37.29 aq:28.40 tex:105 mv:427 misc:404 imb:4 pmb:63 smb:1553 d:- ref:0 ;
in:25 out:23 type:P dur:2 cpbdur:2 q:33.14 aq:24.55 tex:16387 mv:5609 misc:1532 imb:232 pmb:582 smb:806 d:- ref:0 w:0,1,1 ;
in:23 out:24 type:B dur:2 cpbdur:2 q:34.52 aq:29.87 tex:818 mv:1045 misc:529 imb:11 pmb:101 smb:1508 d:- ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:33.83 aq:29.11 tex:518 mv:916 misc:510 imb:5 pmb:111 smb:1504 d:- ref:0 ;
in:28 out:26 type:P dur:2 cpbdur:2 q:37.14 aq:27.81 tex:5778 mv:2936 misc:638 imb:191 pmb:149 smb:1280 d:- ref:0 ;
in:26 out:27 type:B dur:2 cpbdur:2 q:34.47 aq:29.08 tex:1143 mv:1417 misc:576 imb:21 pmb:117 smb:1482 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:35.80 aq:31.01 tex:548 mv:1095 misc:597 imb:7 pmb:147 smb:1466 d:- ref:0 ;
in:30 out:29 type:P dur:2 cpbdur:2 q:41.14 aq:33.25 tex:2767 mv:2153 misc:608 imb:152 pmb:94 smb:1374 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:39.14 aq:36.05 tex:154 mv:856 misc:438 imb:2 pmb:86 smb:1532 d:- ref:0 ;
